DISTRICT,IN_TEST,DATE,_1_1,_10_13,_16_1,_16_2_1,_16_2_2,_16_3_1,_16_3_2,_16_3_3,_16_3_4,_16_3_5,_16_7_3,_4_4_2,_4_4_3,_9_1_10,_9_1_11,_9_1_12,_9_1_14,_9_1_15,_9_1_16,_9_1_2,_9_1_3,_9_1_4,_9_1_5,_9_1_6,_9_1_7,_9_1_8,_9_1_9,_9_3_2,_9_4_2,_9_4_4,_9_7_1,_9_7_2,_9_7_3
Araria,Yes,Y200804,1521,,,,,,,,,,,,2096,2913,2976,3012,,,,2702,2913,2976,3012,,,,2096,3242,,3327,2152,2125,
Araria,Yes,Y200805,,,,,,,,,,,,13,1576,3123,3104,2906,,,,2912,3123,3104,2906,,,,2946,3112,,3216,,,
Araria,Yes,Y200806,1901,,,,,,,,,,,9,1648,3142,3113,2812,,,,2779,3142,3113,2812,,,,2912,3216,,2812,2125,2125,
Araria,Yes,Y200807,2016,,,,,,,,,,,,1827,3016,3028,2976,,,,2812,3016,3028,2976,,,,2812,3341,,2216,2125,2125,1742
Araria,Yes,Y200808,2453,,,,,,,,,,,,,3132,3216,2958,,,,2916,3132,3216,2958,,,,2928,3412,,2315,2125,2125,
Araria,Yes,Y200809,3642,,,,,,,,,,,,3486,3236,3341,2928,,,,2876,3236,3341,2928,,,,2168,3562,,1341,2125,2125,2060
Araria,Yes,Y200810,4213,,,,,,,,,,,,3959,3342,3361,3276,,,,3126,3342,3361,3276,,,,3106,3514,,1296,2125,2125,2060
Araria,Yes,Y200811,3388,,,,,,,,,,,,,,,,,,,725,,,,,,,,,,,,,
Araria,Yes,Y200812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araria,Yes,Y200901,4016,,,,,,,,,,,,,3416,3437,3478,,,,3664,3416,3437,3478,,,,3664,4209,,1472,2125,2125,
Araria,Yes,Y200902,2836,,,,,,,,,,,,,3352,3416,3472,,,,3227,3352,3416,3472,,,,3227,3798,,1578,2125,2120,1998
Araria,Yes,Y200903,2379,,,,,,,,,,,18,2220,2220,2243,2224,,,,2245,2220,2243,2224,,,,2245,,,1378,2125,2125,
Araria,Yes,Y200904,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araria,Yes,Y200905,,,,,,,,,,,,26,1894,2897,3076,2958,,,,2906,2902,3076,2958,,,,2903,3214,,3182,,,
Araria,Yes,Y200906,2418,,,,,,,,,,,7,1986,2907,3016,2896,,,,2912,2903,3016,2913,,,,2912,3149,,2762,2125,2109,
Araria,Yes,Y200907,2661,,,,,,,,,,,213,1141,4351,4758,4370,,,,2519,4347,4783,4415,,,,2222,3066,,2938,935,748,889
Araria,Yes,Y200908,2762,,,,,,,,,,,21,3398,2864,2960,2971,,,,2872,2864,2958,2983,,,,2872,3392,,1592,2125,2109,1851
Araria,Yes,Y200909,2856,,,,,,,,,,,25,4689,2832,2955,2953,,,,2837,2835,2946,2974,,,,2834,3263,,1379,2125,2014,
Araria,Yes,Y200910,6094,,,,,,,,,,,471,1322,5119,4864,4077,628,495,,4538,5308,4591,4787,,,,3659,4274,,3737,1036,874,1302
Araria,Yes,Y200911,3508,,,,,,,,,,,68,2853,2429,2501,2445,,,,2713,2566,2572,2392,,,,2521,1982,,1477,446,438,322
Araria,Yes,Y200912,2528,27,,,,,,,,,,298,1821,7005,6886,5470,,,,6907,7024,6828,5405,,,,4338,4765,,2827,1260,1011,771
Araria,Yes,Y201001,1425,19,1,,,,,,,,8,49,305,3663,3746,3488,,,,3661,3762,3882,3264,,,,2934,2504,,1871,1178,634,992
Araria,Yes,Y201002,3122,3,,,,,,,,,,249,600,6892,6748,5688,,,,5567,6490,6953,6551,,,,3524,4614,,4052,1407,953,1023
Araria,Yes,Y201003,3385,,,,,,,,,,,137,887,4461,5056,4918,,,,3638,4355,4521,4420,,,,3583,3843,,3623,1136,999,1325
Araria,Yes,Y201004,2509,13,,,,,,,,,,62,675,4292,4895,4930,,,,3900,4571,5217,5020,,,,2438,3779,,3144,1121,943,1260
Araria,Yes,Y201005,4840,,,,,,,,,,,105,1523,4555,5348,5113,,,,4276,4794,5370,5118,,,,3769,5217,,3180,1345,1147,648
Araria,Yes,Y201006,4098,,,,,,,,,,,127,1367,4194,4550,4538,,,,3818,4194,4550,4538,,,,3818,4318,,3281,1538,1283,891
Araria,Yes,Y201007,4411,,,,,,,,,,,142,1540,5304,5990,5666,,,,4221,5304,5990,5666,,,,3685,5594,,4165,1757,1356,1080
Araria,Yes,Y201008,5230,116,,,,,,,,,,118,1653,5290,5560,5719,,,,4260,5290,4753,5719,,,,3406,5312,,4022,1828,1433,1213
Araria,Yes,Y201009,4576,112,,,,,,,,,,365,1925,4261,4461,4484,,,,3365,4383,4566,4572,,,,3483,4789,,3480,2559,2018,1511
Araria,Yes,Y201010,5112,102,,,,,,,,,,136,2763,5272,4334,4000,,,,4745,5272,4334,4000,,,,4752,5537,,3277,2482,1964,1965
Araria,Yes,Y201011,4808,65,,,,,,,,,,80,2631,4891,4316,3713,,,,5214,4891,4316,3713,,,,5214,4641,,2470,2127,1734,2209
Araria,Yes,Y201012,4905,,,,,,,,,,,69,2135,7177,5985,4311,,,,6439,7272,5985,4692,,,,6124,5485,,3630,2481,2234,1920
Araria,Yes,Y201101,5295,,,,,,,,,,,57,1870,6921,6413,5380,,,,5114,7020,6496,5409,,,,5049,5151,,3254,2479,2166,1687
Araria,Yes,Y201102,6302,,,,,,,,,,,36,1928,7232,6850,5100,,,,5199,7417,7052,5195,,,,5083,5720,,3037,2381,2199,1896
Araria,Yes,Y201103,5141,,,,,,,,,,,137,1666,4890,5463,5029,,,,4880,4890,5450,4563,,,,4880,5621,,2989,2244,1712,1630
Araria,Yes,Y201104,5733,,,,,,,,,,,50,1599,5861,5895,5712,,,,4407,5845,5952,5763,,,,4170,5399,,3753,2508,2350,2293
Araria,Yes,Y201105,4920,,,,,,,,,,,43,1218,5026,5407,4781,,,,3909,5026,5407,4781,,,,3909,4407,,3092,2777,2535,2362
Araria,Yes,Y201106,5151,,,,,,,,,,,46,1921,4861,5068,4795,,,,4840,4861,5068,4795,,,,4840,4951,,2881,2514,2161,1980
Araria,Yes,Y201107,6033,2,,,,,,,,,,121,2054,4691,4947,4837,,,,4574,4733,5102,4864,,,,3626,5083,,2686,2392,2128,1878
Araria,Yes,Y201108,5154,2,,,,,,,,,,97,2805,4142,4328,4260,,,,5041,4371,4709,4489,,,,4495,5482,,2648,2191,1943,1523
Araria,Yes,Y201109,4868,,,,,,,,,,,175,3013,4115,3903,3667,,,,5576,4474,4207,4067,,,,4847,5122,,2383,2108,1675,1371
Araria,Yes,Y201110,5209,25,,,,,,,,,,337,2935,3962,3478,3295,,,,6650,4637,3995,3790,,,,5000,4976,,1529,2167,1822,1625
Araria,Yes,Y201111,4054,12,,,,,,,,,,213,2900,5344,4076,2817,,,,6043,5905,4532,3431,,,,4811,4112,,1591,1899,1454,1275
Araria,Yes,Y201112,4302,26,,,,,,,,,,69,2338,6265,4874,4159,229,75,21,5726,6385,4990,4311,,,,5256,4808,,2361,2224,1921,1566
Araria,Yes,Y201201,3989,32,,,,,,,,,,66,2263,4915,4352,3489,756,585,254,4468,4915,4352,3489,,,,4481,3903,,1555,2139,1979,1720
Araria,Yes,Y201202,4628,21,,,,,,,,,,70,2335,5441,5158,4337,1275,816,429,4172,5812,5472,4629,,,,4691,4266,158,2339,2214,1886,1660
Araria,Yes,Y201203,3481,,,,,,,,,,,801,2384,4702,4463,3900,1495,743,547,3605,4702,4463,3900,,,,3347,3867,,2165,2034,1467,1288
Araria,Yes,Y201204,4822,,,,,,,,,,,238,2458,3345,3197,2773,1624,1269,581,3935,4029,3855,3477,,,,3168,3557,34,2065,2098,1594,1386
Araria,Yes,Y201205,7532,,,,3,,,,,,,76,3041,4748,4794,4251,1843,1402,761,4942,5111,5331,4655,,,,4136,4330,49,2220,2018,1766,1379
Araria,Yes,Y201206,5697,,,,,,,,,,,73,2378,4079,4042,3889,1625,1222,1019,3513,4308,4369,4212,,,,2846,4138,211,2018,1787,1532,1253
Araria,Yes,Y201207,5310,,,,,,,,,,,104,3232,4535,4682,4451,2483,1416,1091,4914,4574,4749,4561,,,,3844,4927,319,2547,1988,1778,1452
Araria,Yes,Y201208,4843,,,,,,,,1,,,207,4509,4107,4331,4248,2682,1817,1110,5941,4173,4348,4346,,,,5074,4554,34,2864,2070,1694,1420
Araria,Yes,Y201209,5969,,,,,,,,,,,145,5320,5309,4922,4668,3692,3307,2487,7361,5463,5008,4819,,,,6222,5183,50,3250,2084,1633,1391
Araria,Yes,Y201210,5068,33,,,,,,,,,,1260,5984,5291,4530,4422,4400,3632,2512,7501,5561,4713,4538,,,,6641,4508,9,2833,2144,1723,1423
Araria,Yes,Y201211,3335,,,,,,,,,1,20,1192,5435,4250,3248,2878,3081,2241,1717,6203,4173,3239,2881,,,,5424,3027,21,1754,1939,1380,1150
Araria,Yes,Y201212,2965,,,,,,,,,,,715,4404,4317,3523,2942,2731,2134,1553,5419,4332,3554,2986,,,,4828,1421,7,1189,1977,1184,1021
Araria,Yes,Y201301,3195,,,,,,,,,,,723,4281,4474,3599,3187,1950,1322,1080,5686,4649,3729,3297,,,,4608,2971,,1445,1953,1231,1085
Araria,Yes,Y201302,4496,,,,,,,,,,,926,5006,5654,4689,3858,5385,3384,2563,5912,5704,4730,3949,,,,4725,2974,8,2444,2097,1529,1298
Araria,Yes,Y201303,4866,,,,,,,,,,,827,4241,5737,5284,4478,4944,4491,3483,5503,5684,5276,4477,,,,4675,3094,10,2941,2184,1608,1380
Araria,Yes,Y201304,6606,,,,,,,,,,,860,4681,6631,6195,5300,5709,5346,4154,6227,6625,6187,5295,,,,5364,3670,3,4014,2253,1939,1605
Araria,Yes,Y201305,6255,,,,,,,,,,,672,3959,5589,6010,5345,5511,5431,4593,5355,5568,6019,5333,,,,4557,4221,16,3352,2370,2087,1709
Araria,Yes,Y201306,7113,,1,,,,,,,,,642,3942,5642,5372,5183,5607,5256,4767,5295,5649,5376,5179,,,,4463,4573,24,3530,2486,2176,1715
Araria,Yes,Y201307,5451,,4,,,,,,,,,793,4826,4348,4659,4530,4336,4512,4308,5680,4366,4689,4556,,,,4937,4644,50,2891,2374,1892,1562
Araria,Yes,Y201308,5309,,,,,,,,,,,998,6426,4217,4079,3945,4073,4009,3832,7176,4199,4087,3949,,,,6471,3932,178,2521,2035,1582,1315
Araria,Yes,Y201309,5942,0,,,,,,,,,,804,6155,5285,4344,4113,5203,4206,3903,7006,5280,4324,4117,,,,5946,4625,181,2950,2033,1837,1521
Araria,Yes,Y201310,4780,0,,,,,,,,,,877,5951,6241,4723,3893,6076,4531,3725,6304,6252,4711,3900,,,,5401,4544,453,2769,2098,1857,1566
