District,in_test,Date,_1_1,_10_13,_16_1,_16_2_1,_16_2_2,_16_3_1,_16_3_2,_16_3_3,_16_3_4,_16_3_5,_16_7_3,_4_4_2,_4_4_3,_9_1_10,_9_1_11,_9_1_12,_9_1_14,_9_1_15,_9_1_16,_9_1_2,_9_1_3,_9_1_4,_9_1_5,_9_1_6,_9_1_7,_9_1_8,_9_1_9,_9_3_2,_9_4_2,_9_4_4,_9_7_1,_9_7_2,_9_7_3
Agra,No,Y200804,1611,,,,,,,,,,,,,4513,4796,5762,,,,5182,4889,5169,5977,,,,1469,4830,,1700,2317,1608,860
Agra,No,Y200805,1112,,,,,,,,,,,490,2032,5096,4668,5083,,,,5580,5098,4781,5258,,,,1831,4696,,1892,2490,1467,687
Agra,No,Y200806,6289,,,,,,,,,,,1238,3087,8669,7791,8435,,,,8403,8696,7803,8218,,,,2338,9473,,8815,2457,1786,1813
Agra,No,Y200807,11803,,,,,,,,,,,1843,4906,7287,7457,6954,,,,3603,7342,7489,7026,,,,2231,7239,,7448,3426,1866,1160
Agra,No,Y200808,15904,,,,,,,,,,,1858,5239,9268,9619,15100,,,,7730,5076,5564,10600,,,,2910,13619,,2192,3486,1779,1335
Agra,No,Y200809,14731,,,,,,,,,,,2454,5725,9853,8714,8840,,,,14935,1502,1246,1423,,,,2756,11917,,3951,3606,2614,2056
Agra,No,Y200810,14310,,,,,,,,,,,2022,5592,12010,11086,12133,,,,15791,3800,3710,4119,,,,4675,12148,,4076,3606,2566,2030
Agra,No,Y200811,10585,,,,,,,,,,,3014,5811,11299,10250,9858,,,,11485,11206,8203,8709,,,,4806,9465,,3720,366,2174,1496
Agra,No,Y200812,10370,,,,,,,,,,,1572,4452,10856,9528,9623,,,,10858,11897,9999,9103,,,,3105,8462,,3430,3606,2174,1288
Agra,No,Y200901,143575,,,,,,,,,,,138,3117,12635,12551,12452,,,,11054,12787,12684,12546,,,,3887,10602,,3938,3606,2433,1621
Agra,No,Y200902,16541,,,,,,,,,,,2200,5526,10435,16022,11592,,,,10838,15557,23211,24945,,,,3293,10103,,10937,3606,2177,1410
Agra,No,Y200903,19836,,,,,,,,,,,2018,6536,14631,15321,16379,,,,16757,17371,18775,23095,,,,3657,19288,,4805,3606,2487,1797
Agra,No,Y200904,8528,,,,,,,,,,,1526,4540,8331,8344,8284,,,,8491,7853,8595,9273,,,,3420,7599,,3111,2939,2043,1240
